date,total_load,revenue
2024-11-04,665.42,99.81
2024-11-05,557.29,83.59
2024-11-06,625.83,93.87
2024-11-07,599.29,89.89
2024-11-08,624.61,93.69
2024-11-09,682.99,102.45
2024-11-10,766.52,114.98
2024-11-11,637.57,95.64
2024-11-12,631.74,94.76
2024-11-13,674.84,101.23
2024-11-14,660.49,99.07
2024-11-15,624.61,93.69
2024-11-16,682.37,102.36
2024-11-17,633.04,94.96
2024-11-18,673.85,101.08
2024-11-19,569.4,85.41
2024-11-20,648.9,97.33
2024-11-21,631.31,94.7
2024-11-22,730.88,109.63
2024-11-23,657.09,98.56
2024-11-24,585.92,87.89
2024-11-25,620.12,93.02
2024-11-26,649.04,97.36
2024-11-27,626.77,94.02
2024-11-28,661.58,99.24
2024-11-29,595.59,89.34
2024-11-30,698.46,104.77
2024-12-01,692.14,103.82
2024-12-02,752.83,112.92
2024-12-03,701.22,105.18
2024-12-04,643.82,96.57
2024-12-05,635.03,95.25
2024-12-06,673.09,100.96
2024-12-07,599.73,89.96
2024-12-08,714.19,107.13
2024-12-09,683.95,102.59
2024-12-10,662.08,99.31
2024-12-11,686.93,103.04
2024-12-12,657.56,98.63
2024-12-13,669.03,100.35
2024-12-14,648.41,97.26
2024-12-15,647.32,97.1
2024-12-16,629.91,94.49
2024-12-17,643.65,96.55
2024-12-18,619.53,92.93
2024-12-19,708.19,106.23
2024-12-20,687.71,103.16
2024-12-21,576.71,86.51
2024-12-22,704.62,105.69
2024-12-23,677.83,101.67
2024-12-24,574.39,86.16
2024-12-25,757.16,113.57
2024-12-26,623.71,93.56
2024-12-27,672.41,100.86
2024-12-28,610.54,91.58
2024-12-29,661.09,99.16
2024-12-30,695.85,104.38
2024-12-31,592.47,88.87
2025-01-01,636.76,95.51
2025-01-02,688.86,103.33
2025-01-03,698.4,104.76
2025-01-04,635.87,95.38
2025-01-05,614.8,92.22
2025-01-06,702.6,105.39
2025-01-07,692.81,103.92
2025-01-08,692.66,103.9
2025-01-09,637.69,95.65
2025-01-10,746.4,111.96
2025-01-11,654.44,98.17
2025-01-12,724.98,108.75
2025-01-13,695.56,104.33
2025-01-14,669.45,100.42
2025-01-15,688.69,103.3
2025-01-16,782.0,117.3
2025-01-17,721.35,108.2
2025-01-18,635.5,95.32
2025-01-19,736.0,110.4
2025-01-20,674.12,101.12
2025-01-21,760.64,114.1
2025-01-22,620.95,93.14
2025-01-23,744.3,111.65
2025-01-24,666.73,100.01
2025-01-25,726.72,109.01
2025-01-26,733.06,109.96
2025-01-27,626.0,93.9
2025-01-28,677.49,101.62
2025-01-29,746.74,112.01
2025-01-30,669.1,100.37
2025-01-31,702.72,105.41
2025-02-01,716.77,107.52
2025-02-02,707.71,106.16
2025-02-03,707.21,106.08
2025-02-04,725.11,108.77
2025-02-05,653.64,98.05
2025-02-06,716.11,107.42
2025-02-07,603.1,90.46
2025-02-08,700.26,105.04
2025-02-09,635.09,95.26
2025-02-10,761.23,114.18
2025-02-11,733.12,109.97
2025-02-12,662.4,99.36
2025-02-13,759.46,113.92
2025-02-14,739.52,110.93
2025-02-15,748.0,112.2
2025-02-16,647.81,97.17
2025-02-17,663.46,99.52
2025-02-18,758.3,113.74
2025-02-19,727.68,109.15
2025-02-20,668.66,100.3
2025-02-21,755.55,113.33
2025-02-22,693.74,104.06
2025-02-23,653.27,97.99
2025-02-24,725.69,108.85
2025-02-25,639.76,95.96
2025-02-26,667.59,100.14
2025-02-27,696.97,104.54
2025-02-28,828.15,124.22
2025-03-01,794.65,119.2
2025-03-02,690.63,103.59
2025-03-03,790.78,118.62
2025-03-04,668.33,100.25
2025-03-05,756.33,113.45
2025-03-06,690.86,103.63
2025-03-07,748.71,112.31
2025-03-08,743.67,111.55
2025-03-09,715.49,107.32
2025-03-10,749.58,112.44
2025-03-11,656.2,98.43
2025-03-12,687.53,103.13
2025-03-13,787.78,118.17
2025-03-14,693.86,104.08
2025-03-15,819.57,122.94
2025-03-16,762.89,114.43
2025-03-17,735.96,110.39
2025-03-18,733.86,110.08
2025-03-19,827.28,124.09
2025-03-20,789.12,118.37
2025-03-21,763.7,114.55
2025-03-22,680.87,102.13
2025-03-23,725.37,108.81
2025-03-24,754.06,113.11
2025-03-25,746.94,112.04
2025-03-26,800.06,120.01
2025-03-27,753.05,112.96
2025-03-28,857.2,128.58
2025-03-29,756.42,113.46
2025-03-30,685.88,102.88
2025-03-31,733.57,110.04
2025-04-01,671.92,100.79
2025-04-02,731.28,109.69
2025-04-03,747.7,112.16
2025-04-04,746.69,112.0
2025-04-05,705.99,105.9
2025-04-06,737.31,110.6
2025-04-07,782.44,117.37
2025-04-08,767.96,115.19
2025-04-09,754.84,113.23
2025-04-10,830.64,124.6
2025-04-11,781.28,117.19
2025-04-12,764.65,114.7
2025-04-13,697.93,104.69
2025-04-14,661.17,99.18
2025-04-15,762.59,114.39
2025-04-16,739.59,110.94
2025-04-17,720.31,108.05
2025-04-18,766.26,114.94
2025-04-19,741.89,111.28
2025-04-20,850.59,127.59
2025-04-21,906.14,135.92
2025-04-22,798.32,119.75
2025-04-23,726.93,109.04
2025-04-24,813.7,122.06
2025-04-25,821.31,123.2
2025-04-26,742.69,111.4
2025-04-27,713.8,107.07
2025-04-28,742.44,111.37
2025-04-29,768.59,115.29
2025-04-30,727.51,109.13
2025-05-01,729.94,109.49
2025-05-02,750.1,112.51
2025-05-03,784.37,117.66
2025-05-04,832.74,124.91
2025-05-05,844.28,126.64
2025-05-06,879.77,131.96
2025-05-07,786.29,117.94
2025-05-08,743.03,111.45
2025-05-09,724.32,108.65
2025-05-10,728.38,109.26
2025-05-11,748.83,112.32
2025-05-12,780.15,117.02
2025-05-13,713.23,106.98
2025-05-14,688.26,103.24
2025-05-15,763.92,114.59
2025-05-16,726.38,108.96
2025-05-17,668.58,100.29
2025-05-18,712.04,106.81
2025-05-19,774.28,116.14
2025-05-20,735.07,110.26
2025-05-21,729.66,109.45
2025-05-22,706.1,105.92
2025-05-23,799.14,119.87
2025-05-24,768.13,115.22
2025-05-25,726.13,108.92
2025-05-26,730.62,109.59
2025-05-27,697.32,104.6
2025-05-28,859.82,128.97
2025-05-29,666.41,99.96
2025-05-30,772.89,115.93
2025-05-31,760.91,114.14
2025-06-01,803.97,160.79
2025-06-02,742.51,148.5
2025-06-03,745.44,149.09
2025-06-04,810.05,162.01
2025-06-05,710.13,142.03
2025-06-06,624.22,124.84
2025-06-07,717.07,143.41
2025-06-08,767.7,153.54
2025-06-09,713.68,142.74
2025-06-10,809.36,161.87
2025-06-11,818.7,163.74
2025-06-12,784.42,156.88
2025-06-13,720.23,144.05
2025-06-14,751.11,150.22
2025-06-15,776.6,155.32
2025-06-16,727.37,145.47
2025-06-17,750.09,150.02
2025-06-18,804.46,160.89
2025-06-19,705.85,141.17
2025-06-20,739.04,147.81
2025-06-21,774.89,154.98
2025-06-22,752.5,150.5
2025-06-23,703.38,140.68
2025-06-24,697.87,139.57
2025-06-25,709.92,141.98
2025-06-26,720.55,144.11
2025-06-27,784.45,156.89
2025-06-28,748.76,149.75
2025-06-29,673.22,134.64
2025-06-30,665.86,133.17
2025-07-01,654.75,130.95
2025-07-02,776.84,155.37
2025-07-03,701.48,140.3
2025-07-04,777.41,155.48
2025-07-05,786.87,157.37
2025-07-06,729.36,145.87
2025-07-07,780.1,156.02
2025-07-08,808.21,161.64
2025-07-09,676.25,135.25
2025-07-10,712.59,142.52
2025-07-11,731.98,146.4
2025-07-12,773.8,154.76
2025-07-13,727.02,145.4
2025-07-14,792.32,158.46
2025-07-15,821.58,164.32
2025-07-16,664.03,132.81
2025-07-17,771.6,154.32
2025-07-18,670.48,134.1
2025-07-19,750.59,150.12
2025-07-20,684.39,136.88
2025-07-21,769.13,153.83
2025-07-22,760.29,152.06
2025-07-23,747.88,149.58
2025-07-24,738.14,147.63
2025-07-25,796.41,159.28
2025-07-26,769.58,153.92
2025-07-27,713.29,142.66
2025-07-28,771.36,154.27
2025-07-29,662.12,132.42
2025-07-30,722.15,144.43
2025-07-31,713.03,142.61
2025-08-01,753.9,150.78
2025-08-02,692.08,138.42
2025-08-03,715.3,143.06
2025-08-04,597.88,119.58
2025-08-05,650.99,130.2
2025-08-06,719.48,143.9
2025-08-07,691.17,138.23
2025-08-08,659.06,131.81
2025-08-09,697.25,139.45
2025-08-10,637.21,127.44
2025-08-11,748.95,149.79
2025-08-12,692.71,138.54
2025-08-13,677.45,135.49
2025-08-14,707.75,141.55
2025-08-15,680.67,136.13
2025-08-16,691.61,138.32
2025-08-17,695.47,139.09
2025-08-18,825.45,165.09
2025-08-19,639.85,127.97
2025-08-20,652.6,130.52
2025-08-21,732.93,146.59
2025-08-22,624.78,124.96
2025-08-23,695.76,139.15
2025-08-24,723.38,144.68
2025-08-25,564.67,112.93
2025-08-26,669.06,133.81
2025-08-27,727.25,145.45
2025-08-28,610.03,122.01
2025-08-29,710.96,142.19
2025-08-30,723.35,144.67
2025-08-31,642.33,128.47
2025-09-01,645.78,96.87
2025-09-02,641.99,96.3
2025-09-03,590.92,88.64
2025-09-04,680.04,102.01
2025-09-05,701.23,105.18
2025-09-06,679.12,101.87
2025-09-07,644.85,96.73
2025-09-08,630.51,94.58
2025-09-09,661.62,99.24
2025-09-10,736.31,110.45
2025-09-11,634.15,95.12
2025-09-12,602.47,90.37
2025-09-13,648.21,97.23
2025-09-14,609.75,91.46
2025-09-15,736.65,110.5
2025-09-16,711.44,106.72
2025-09-17,674.34,101.15
2025-09-18,688.13,103.22
2025-09-19,673.6,101.04
2025-09-20,574.88,86.23
2025-09-21,620.6,93.09
2025-09-22,658.82,98.82
2025-09-23,677.53,101.63
2025-09-24,686.79,103.02
2025-09-25,613.96,92.09
2025-09-26,597.74,89.66
2025-09-27,671.7,100.75
2025-09-28,626.87,94.03
2025-09-29,745.93,111.89
2025-09-30,639.18,95.88
2025-10-01,731.86,109.78
2025-10-02,665.46,99.82
2025-10-03,768.44,115.27
2025-10-04,581.8,87.27
2025-10-05,618.85,92.83
2025-10-06,556.16,83.42
2025-10-07,650.94,97.64
2025-10-08,651.55,97.73
2025-10-09,580.33,87.05
2025-10-10,634.76,95.21
2025-10-11,624.47,93.67
2025-10-12,625.0,93.75
2025-10-13,580.9,87.13
2025-10-14,540.1,81.02
2025-10-15,663.64,99.55
2025-10-16,647.0,97.05
2025-10-17,640.71,96.11
2025-10-18,563.35,84.5
2025-10-19,596.37,89.45
2025-10-20,592.86,88.93
2025-10-21,689.53,103.43
2025-10-22,579.65,86.95
2025-10-23,583.58,87.54
2025-10-24,622.87,93.43
2025-10-25,590.28,88.54
2025-10-26,644.99,96.75
2025-10-27,616.93,92.54
2025-10-28,638.82,95.82
2025-10-29,571.56,85.73
2025-10-30,695.27,104.29
2025-10-31,657.9,98.69
2025-11-01,766.35,114.95
2025-11-02,587.25,88.09
2025-11-03,603.68,90.55
2025-11-04,653.21,97.98
2025-11-05,671.19,100.68
2025-11-06,664.08,99.61
2025-11-07,607.08,91.06
2025-11-08,586.44,87.97
2025-11-09,619.75,92.96
2025-11-10,637.8,95.67
2025-11-11,656.46,98.47
2025-11-12,684.47,102.67
2025-11-13,604.14,90.62
2025-11-14,755.64,113.35
2025-11-15,701.87,105.28
2025-11-16,624.25,93.64
2025-11-17,633.39,95.01
2025-11-18,638.71,95.81
2025-11-19,715.85,107.38
2025-11-20,612.09,91.81
2025-11-21,705.75,105.86
2025-11-22,628.56,94.28
2025-11-23,583.45,87.52
2025-11-24,615.86,92.38
2025-11-25,570.9,85.63
2025-11-26,577.92,86.69
2025-11-27,612.44,91.87
2025-11-28,641.77,96.27
2025-11-29,689.94,103.49
2025-11-30,593.24,88.99
2025-12-01,698.7,104.8
2025-12-02,641.42,96.21
2025-12-03,735.24,110.29
2025-12-04,648.4,97.26
2025-12-05,522.64,78.4
2025-12-06,621.6,93.24
2025-12-07,617.55,92.63
2025-12-08,629.86,94.48
2025-12-09,738.46,110.77
2025-12-10,661.3,99.2
2025-12-11,683.87,102.58
2025-12-12,624.94,93.74
2025-12-13,732.26,109.84
2025-12-14,665.27,99.79
2025-12-15,614.63,92.19
2025-12-16,672.97,100.95
2025-12-17,725.49,108.82
2025-12-18,688.74,103.31
2025-12-19,597.69,89.65
2025-12-20,707.86,106.18
2025-12-21,693.96,104.09
2025-12-22,667.68,100.15
2025-12-23,787.83,118.17
2025-12-24,669.23,100.38
